filename,label,text
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Bobby
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Whitney
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Kevin Costner
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Billboard
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Oprah
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Houston
Whitney_Houston_Eight_American_Music_Awards_Make__Jet_USA___February_28_1994__p56-59.txt,PERSON,Grammy Awards
